# Testi nuovi o cambiati nella v7. Tipo|chiave|it|en|es|de|fr|pl|pt|ro|ru
# L = contenuto di un controllo, M = messaggio, H = descrizione a comparsa (it|en, oppure tutte e nove le lingue).
H|chkNvPreempt|La scheda finisce un lavoro prima di passare al successivo. Può ridurre la latenza, su alcuni PC causa blocchi.|The card finishes a job before switching to the next. It can reduce latency; on some PCs it causes hangs.|La tarjeta termina un trabajo antes de pasar al siguiente. Puede reducir la latencia; en algunos PC provoca bloqueos.|Die Karte beendet eine Aufgabe, bevor sie zur nächsten wechselt. Kann die Latenz senken; auf manchen PCs führt es zu Hängern.|La carte termine une tâche avant de passer à la suivante. Peut réduire la latence ; sur certains PC, provoque des blocages.|Karta kończy zadanie przed przejściem do następnego. Może zmniejszyć opóźnienia; na niektórych PC powoduje zawieszenia.|A placa termina uma tarefa antes de passar à próxima. Pode reduzir a latência; em alguns PCs causa travamentos.|Placa termină o sarcină înainte de a trece la următoarea. Poate reduce latența; pe unele PC-uri cauzează blocări.|Карта завершает задачу перед переходом к следующей. Может снизить задержку; на некоторых ПК вызывает зависания.
H|chkNvDynPstate|La scheda non scende mai di frequenza. Massima reattività, più calore e consumo anche a riposo.|The card never lowers its clocks. Maximum responsiveness, more heat and power even at idle.|La tarjeta nunca baja sus frecuencias. Máxima respuesta, más calor y consumo incluso en reposo.|Die Karte senkt ihren Takt nie. Maximale Reaktion, mehr Wärme und Verbrauch auch im Leerlauf.|La carte ne baisse jamais ses fréquences. Réactivité maximale, plus de chaleur et de consommation même au repos.|Karta nigdy nie obniża taktowania. Maksymalna responsywność, więcej ciepła i poboru nawet w spoczynku.|A placa nunca reduz seus clocks. Resposta máxima, mais calor e consumo mesmo em repouso.|Placa nu își coboară niciodată frecvențele. Reacție maximă, mai multă căldură și consum chiar în repaus.|Карта никогда не снижает частоты. Максимальная отзывчивость, больше нагрев и потребление даже в простое.
H|chkNvLatency|Riduce le attese interne del driver usate per risparmiare energia. Effetto variabile: provalo e misura.|Cuts the driver's internal waits used to save power. The effect varies: try it and measure.|Reduce las esperas internas del controlador usadas para ahorrar energía. El efecto varía: pruébalo y mide.|Kürzt die internen Wartezeiten des Treibers zum Energiesparen. Die Wirkung schwankt: ausprobieren und messen.|Réduit les attentes internes du pilote destinées à économiser l'énergie. L'effet varie : essayez et mesurez.|Skraca wewnętrzne oczekiwania sterownika służące oszczędzaniu energii. Efekt bywa różny: wypróbuj i zmierz.|Reduz as esperas internas do driver usadas para economizar energia. O efeito varia: teste e meça.|Reduce așteptările interne ale driverului folosite pentru economisire. Efectul variază: încearcă și măsoară.|Сокращает внутренние ожидания драйвера для экономии энергии. Эффект разный: проверьте и измерьте.
H|chkAmdAntiLag|Il processore non corre avanti rispetto alla scheda video. Comandi più immediati nei giochi.|The processor doesn't run ahead of the graphics card. Snappier controls in games.|El procesador no se adelanta a la tarjeta gráfica. Controles más ágiles en los juegos.|Der Prozessor läuft der Grafikkarte nicht voraus. Direktere Steuerung in Spielen.|Le processeur ne prend pas d'avance sur la carte graphique. Commandes plus réactives en jeu.|Procesor nie wyprzedza karty graficznej. Szybsza reakcja sterowania w grach.|O processador não se adianta à placa de vídeo. Controles mais ágeis nos jogos.|Procesorul nu o ia înaintea plăcii video. Control mai prompt în jocuri.|Процессор не забегает вперёд видеокарты. Управление в играх отзывчивее.
H|chkAmdShaderCache|Gli shader compilati restano sempre salvati: meno scatti ai caricamenti.|Compiled shaders are always kept: fewer stutters on loading.|Los shaders compilados se conservan siempre: menos tirones al cargar.|Kompilierte Shader werden immer behalten: weniger Ruckler beim Laden.|Les shaders compilés sont toujours conservés : moins de saccades au chargement.|Skompilowane shadery są zawsze zachowywane: mniej przycięć przy wczytywaniu.|Os shaders compilados são sempre mantidos: menos travadas no carregamento.|Shaderele compilate sunt păstrate mereu: mai puține sacadări la încărcare.|Скомпилированные шейдеры хранятся всегда: меньше фризов при загрузке.
H|chkAmdTexPerf|Il filtro delle texture privilegia la velocità, con differenze minime a vista.|Texture filtering favors speed, with barely visible differences.|El filtrado de texturas prioriza la velocidad, con diferencias apenas visibles.|Die Texturfilterung bevorzugt Tempo, mit kaum sichtbaren Unterschieden.|Le filtrage des textures privilégie la vitesse, avec des différences à peine visibles.|Filtrowanie tekstur stawia na szybkość, różnice są ledwo widoczne.|A filtragem de texturas prioriza a velocidade, com diferenças quase invisíveis.|Filtrarea texturilor favorizează viteza, cu diferențe abia vizibile.|Фильтрация текстур в пользу скорости, разница едва заметна.
H|chkAmdTess|Il driver limita la tassellatura esagerata di alcuni giochi. FPS più alti nelle scene pesanti.|The driver caps some games' excessive tessellation. Higher FPS in heavy scenes.|El controlador limita la teselación excesiva de algunos juegos. Más FPS en escenas pesadas.|Der Treiber begrenzt die übermäßige Tessellation mancher Spiele. Mehr FPS in schweren Szenen.|Le pilote limite la tessellation excessive de certains jeux. Plus de FPS dans les scènes lourdes.|Sterownik ogranicza nadmierną teselację w niektórych grach. Więcej FPS w ciężkich scenach.|O driver limita a tesselação excessiva de alguns jogos. Mais FPS em cenas pesadas.|Driverul limitează teselarea excesivă a unor jocuri. Mai multe FPS în scene grele.|Драйвер ограничивает избыточную тесселяцию в некоторых играх. Больше FPS в тяжёлых сценах.
H|chkAmdFlipQueue|Un solo fotogramma in coda verso lo schermo. Meno ritardo tra mouse e immagine.|Only one frame queued to the screen. Less delay between mouse and image.|Solo un fotograma en cola hacia la pantalla. Menos retraso entre el ratón y la imagen.|Nur ein Frame in der Warteschlange zum Bildschirm. Weniger Verzögerung zwischen Maus und Bild.|Une seule image en file vers l'écran. Moins de délai entre la souris et l'image.|Tylko jedna klatka w kolejce do ekranu. Mniejsze opóźnienie między myszą a obrazem.|Apenas um quadro na fila para a tela. Menos atraso entre o mouse e a imagem.|Un singur cadru în coadă spre ecran. Întârziere mai mică între mouse și imagine.|Только один кадр в очереди на экран. Меньше задержка между мышью и изображением.
H|chkAmdNoFrtc|Toglie il tetto agli FPS impostato dal driver.|Removes the FPS cap set by the driver.|Quita el límite de FPS fijado por el controlador.|Entfernt die vom Treiber gesetzte FPS-Grenze.|Supprime la limite de FPS fixée par le pilote.|Usuwa limit FPS ustawiony przez sterownik.|Remove o limite de FPS definido pelo driver.|Elimină limita de FPS setată de driver.|Снимает ограничение FPS, заданное драйвером.
H|chkAmdStutter|La memoria video non entra in risparmio tra un fotogramma e l'altro. Tempi dei fotogrammi più regolari.|Video memory doesn't power down between frames. Steadier frame times.|La memoria de vídeo no se apaga entre fotogramas. Tiempos de fotograma más estables.|Der Videospeicher schaltet zwischen den Frames nicht ab. Gleichmäßigere Frametimes.|La mémoire vidéo ne se met pas en veille entre les images. Temps d'image plus stables.|Pamięć wideo nie wyłącza się między klatkami. Stabilniejsze czasy klatek.|A memória de vídeo não desliga entre quadros. Tempos de quadro mais estáveis.|Memoria video nu se oprește între cadre. Timpi de cadru mai stabili.|Видеопамять не отключается между кадрами. Время кадра стабильнее.
H|chkAmdAspm|Il collegamento PCIe della scheda resta sempre attivo. Niente micro-ritardi al risveglio.|The card's PCIe link stays always active. No micro-delays on wake-up.|El enlace PCIe de la tarjeta queda siempre activo. Sin microretrasos al despertar.|Die PCIe-Verbindung der Karte bleibt immer aktiv. Keine Mikroverzögerungen beim Aufwachen.|Le lien PCIe de la carte reste toujours actif. Pas de micro-délais au réveil.|Łącze PCIe karty jest zawsze aktywne. Brak mikroopóźnień przy wybudzaniu.|O link PCIe da placa fica sempre ativo. Sem microatrasos ao despertar.|Legătura PCIe a plăcii rămâne mereu activă. Fără microîntârzieri la trezire.|Канал PCIe карты всегда активен. Нет микрозадержек при пробуждении.
H|chkAmdPowerGating|Le unità della scheda non vengono spente a riposo. Più reattiva, consuma e scalda di più.|The card's units aren't powered off at idle. More responsive, more power and heat.|Las unidades de la tarjeta no se apagan en reposo. Más respuesta, más consumo y calor.|Die Einheiten der Karte werden im Leerlauf nicht abgeschaltet. Reaktionsschneller, mehr Verbrauch und Wärme.|Les unités de la carte ne s'éteignent pas au repos. Plus réactive, plus de consommation et de chaleur.|Jednostki karty nie wyłączają się w spoczynku. Większa responsywność, większy pobór i ciepło.|As unidades da placa não desligam em repouso. Mais resposta, mais consumo e calor.|Unitățile plăcii nu se opresc în repaus. Mai receptivă, mai mult consum și căldură.|Блоки карты не отключаются в простое. Отзывчивее, но больше потребление и нагрев.
H|chkAmdDma|Cambia il modo in cui la scheda copia i dati. Su alcune schede riduce gli scatti, su altre li peggiora.|Changes how the card copies data. On some cards it reduces stutter, on others it worsens it.|Cambia cómo la tarjeta copia los datos. En algunas tarjetas reduce los tirones, en otras los empeora.|Ändert, wie die Karte Daten kopiert. Auf manchen Karten weniger Ruckler, auf anderen mehr.|Change la façon dont la carte copie les données. Sur certaines cartes, réduit les saccades ; sur d'autres, les aggrave.|Zmienia sposób kopiowania danych przez kartę. Na niektórych kartach zmniejsza przycięcia, na innych je pogarsza.|Muda como a placa copia os dados. Em algumas placas reduz travadas, em outras piora.|Schimbă modul în care placa copiază datele. Pe unele plăci reduce sacadările, pe altele le agravează.|Меняет способ копирования данных картой. На одних картах уменьшает фризы, на других усиливает.
H|chkAmdPreempt|La scheda finisce un calcolo prima di passare al successivo. Da provare: su alcuni PC causa blocchi.|The card finishes a compute job before the next one. Worth testing: on some PCs it causes hangs.|La tarjeta termina un trabajo de cálculo antes del siguiente. Conviene probarlo: en algunos PC provoca bloqueos.|Die Karte beendet eine Rechenaufgabe vor der nächsten. Ausprobieren: auf manchen PCs führt es zu Hängern.|La carte termine un calcul avant le suivant. À tester : sur certains PC, provoque des blocages.|Karta kończy zadanie obliczeniowe przed następnym. Warto przetestować: na niektórych PC powoduje zawieszenia.|A placa termina uma tarefa de cálculo antes da próxima. Vale testar: em alguns PCs causa travamentos.|Placa termină o sarcină de calcul înainte de următoarea. Merită testat: pe unele PC-uri cauzează blocări.|Карта завершает вычисление перед следующим. Стоит проверить: на некоторых ПК вызывает зависания.
M|appCat_browser|Browser|Browsers|Navegadores|Browser|Navigateurs|Przeglądarki|Navegadores|Browsere|Браузеры
M|appCat_chat|Comunicazione|Communication|Comunicación|Kommunikation|Communication|Komunikacja|Comunicação|Comunicare|Общение
M|appCat_docs|Documenti e ufficio|Documents and office|Documentos y oficina|Dokumente und Büro|Documents et bureautique|Dokumenty i biuro|Documentos e escritório|Documente și birou|Документы и офис
M|appCat_media|Foto, audio e video|Photo, audio and video|Foto, audio y vídeo|Foto, Audio und Video|Photo, audio et vidéo|Zdjęcia, audio i wideo|Foto, áudio e vídeo|Foto, audio și video|Фото, аудио и видео
M|appCat_games|Giochi|Games|Juegos|Spiele|Jeux|Gry|Jogos|Jocuri|Игры
M|appCat_tools|Utilità|Utilities|Utilidades|Dienstprogramme|Utilitaires|Narzędzia|Utilitários|Utilitare|Утилиты
M|appCat_system|Sistema e diagnostica|System and diagnostics|Sistema y diagnóstico|System und Diagnose|Système et diagnostic|System i diagnostyka|Sistema e diagnóstico|Sistem și diagnostic|Система и диагностика
M|appCat_security|Sicurezza e privacy|Security and privacy|Seguridad y privacidad|Sicherheit und Datenschutz|Sécurité et confidentialité|Bezpieczeństwo i prywatność|Segurança e privacidade|Securitate și confidențialitate|Безопасность и приватность
M|appCat_net|Rete, cloud e download|Network, cloud and downloads|Red, nube y descargas|Netzwerk, Cloud und Downloads|Réseau, cloud et téléchargements|Sieć, chmura i pobieranie|Rede, nuvem e downloads|Rețea, cloud și descărcări|Сеть, облако и загрузки
M|appCat_dev|Sviluppo|Development|Desarrollo|Entwicklung|Développement|Programowanie|Desenvolvimento|Dezvoltare|Разработка
M|appCat_runtime|Componenti di sistema|System components|Componentes del sistema|Systemkomponenten|Composants système|Składniki systemu|Componentes do sistema|Componente de sistem|Системные компоненты
L|btnSelectPage|Questa pagina|This page|Esta página|Diese Seite|Cette page|Ta strona|Esta página|Această pagină|Эта страница
L|btnRecommended|Consigliati|Recommended|Recomendados|Empfohlene|Recommandés|Zalecane|Recomendados|Recomandate|Рекомендуемые
M|selPageNone|Su questa pagina non ci sono voci da mettere in coda.|This page has no entries to queue.|En esta página no hay opciones que poner en cola.|Auf dieser Seite gibt es nichts für die Warteschlange.|Cette page n'a aucun élément à mettre en file.|Na tej stronie nie ma pozycji do kolejki.|Nesta página não há itens para a fila.|Pe această pagină nu sunt elemente de pus la coadă.|На этой странице нет пунктов для очереди.
M|recNone|Qui le voci si scelgono una per una: leggi la descrizione di ognuna.|Here entries are picked one by one: read each description.|Aquí las opciones se eligen una a una: lee la descripción de cada una.|Hier werden die Einträge einzeln gewählt: Lies jede Beschreibung.|Ici les éléments se choisissent un par un : lis chaque description.|Tutaj pozycje wybiera się pojedynczo: przeczytaj każdy opis.|Aqui os itens são escolhidos um a um: leia cada descrição.|Aici elementele se aleg unul câte unul: citește fiecare descriere.|Здесь пункты выбираются по одному: прочитайте описание каждого.
M|recSelected|Selezionate {0} voci consigliate: premi Applica modifiche.|Selected {0} recommended entries: press Apply changes.|Seleccionadas {0} opciones recomendadas: pulsa Aplicar cambios.|{0} empfohlene Einträge ausgewählt: Änderungen übernehmen drücken.|{0} éléments recommandés sélectionnés : appuie sur Appliquer.|Zaznaczono {0} zalecanych pozycji: naciśnij Zastosuj zmiany.|Selecionados {0} itens recomendados: pressione Aplicar alterações.|Au fost selectate {0} elemente recomandate: apasă Aplică modificările.|Выбрано рекомендуемых пунктов: {0}. Нажмите «Применить изменения».
M|recSched|Valori consigliati pronti nei due pannelli: premi Applica e Salva per scriverli.|Recommended values ready in both panels: press Apply and Save to write them.|Valores recomendados listos en los dos paneles: pulsa Aplicar y Guardar.|Empfohlene Werte in beiden Feldern bereit: Übernehmen und Speichern drücken.|Valeurs recommandées prêtes dans les deux panneaux : appuie sur Appliquer et Enregistrer.|Zalecane wartości gotowe w obu panelach: naciśnij Zastosuj i Zapisz.|Valores recomendados prontos nos dois painéis: pressione Aplicar e Salvar.|Valorile recomandate sunt pregătite în ambele panouri: apasă Aplică și Salvează.|Рекомендуемые значения готовы в обеих панелях: нажмите «Применить» и «Сохранить».
L|ttlAdvExplorer|ESPLORA FILE|FILE EXPLORER|EXPLORADOR DE ARCHIVOS|DATEI-EXPLORER|EXPLORATEUR DE FICHIERS|EKSPLORATOR PLIKÓW|EXPLORADOR DE ARQUIVOS|EXPLORER FIȘIERE|ПРОВОДНИК
L|lblAdvExplorerHint|Mostrano file che Windows tiene nascosti per non farli cancellare per sbaglio. Fuori da «Seleziona tutto».|They show files Windows hides so they don't get deleted by mistake. Left out of «Select all».|Muestran archivos que Windows oculta para que no se borren por error. Fuera de «Seleccionar todo».|Sie zeigen Dateien, die Windows versteckt, damit sie nicht versehentlich gelöscht werden. Nicht in «Alle auswählen».|Ils montrent des fichiers que Windows cache pour éviter les suppressions par erreur. Hors de «Tout sélectionner».|Pokazują pliki, które Windows ukrywa, by nie usunąć ich przez pomyłkę. Poza «Zaznacz wszystko».|Mostram arquivos que o Windows oculta para não serem apagados por engano. Fora de «Selecionar tudo».|Arată fișiere pe care Windows le ascunde ca să nu fie șterse din greșeală. În afara opțiunii «Selectează tot».|Показывают файлы, которые Windows скрывает, чтобы их не удалили по ошибке. Вне «Выбрать все».
L|btnAppsUpgrade|Aggiorna selezionate|Update selected|Actualizar seleccionadas|Ausgewählte aktualisieren|Mettre à jour la sélection|Zaktualizuj zaznaczone|Atualizar selecionados|Actualizează selectate|Обновить выбранные
L|radTcpCurrent|Profilo attuale|Current profile|Perfil actual|Aktuelles Profil|Profil actuel|Bieżący profil|Perfil atual|Profil actual|Текущий профиль
L|tabHome|Home|Home|Inicio|Start|Accueil|Start|Início|Acasă|Главная
L|lblHomeLoading|Lettura dell'hardware...|Reading the hardware...|Leyendo el hardware...|Hardware wird gelesen...|Lecture du matériel...|Odczyt sprzętu...|Lendo o hardware...|Se citește hardware-ul...|Чтение оборудования...
L|ttlAppJobs|OPERAZIONI|OPERATIONS|OPERACIONES|VORGÄNGE|OPÉRATIONS|OPERACJE|OPERAÇÕES|OPERAȚIUNI|ОПЕРАЦИИ
L|btnAppJobsClose|Chiudi|Close|Cerrar|Schließen|Fermer|Zamknij|Fechar|Închide|Закрыть
M|appUpdatable|Aggiornabile|Update available|Actualizable|Update verfügbar|Mise à jour dispo|Aktualizacja|Atualizável|Actualizabilă|Есть обновление
M|appsUpgradeSel|Aggiorna selezionate|Update selected|Actualizar seleccionadas|Ausgewählte aktualisieren|Mettre à jour la sélection|Zaktualizuj zaznaczone|Atualizar selecionados|Actualizează selectate|Обновить выбранные
M|appsSelectUpdates|Seleziona tutti|Select all|Seleccionar todas|Alle auswählen|Tout sélectionner|Zaznacz wszystkie|Selecionar todos|Selectează tot|Выбрать все
M|appsUpdatesTitle|Aggiornamenti disponibili ({0})|Available updates ({0})|Actualizaciones disponibles ({0})|Verfügbare Updates ({0})|Mises à jour disponibles ({0})|Dostępne aktualizacje ({0})|Atualizações disponíveis ({0})|Actualizări disponibile ({0})|Доступные обновления ({0})
M|appsNoUpdates|Tutte le app gestite da winget sono aggiornate.|Every app managed by winget is up to date.|Todas las apps gestionadas por winget están al día.|Alle von winget verwalteten Apps sind aktuell.|Toutes les apps gérées par winget sont à jour.|Wszystkie aplikacje zarządzane przez winget są aktualne.|Todos os apps gerenciados pelo winget estão atualizados.|Toate aplicațiile gestionate de winget sunt la zi.|Все приложения, которыми управляет winget, обновлены.
M|appsScanning|Controllo degli aggiornamenti in corso...|Checking for updates...|Buscando actualizaciones...|Suche nach Updates...|Recherche de mises à jour...|Sprawdzanie aktualizacji...|Procurando atualizações...|Se caută actualizări...|Поиск обновлений...
M|appsAskUpgradeSel|Aggiorno {0} app con winget, una alla volta, senza finestre. Procedo?|I'll update {0} apps with winget, one at a time, without windows. Go ahead?|Actualizo {0} apps con winget, una a una, sin ventanas. ¿Sigo?|Ich aktualisiere {0} Apps mit winget, eine nach der anderen, ohne Fenster. Fortfahren?|Je mets à jour {0} apps avec winget, une par une, sans fenêtres. Je continue ?|Zaktualizuję {0} aplikacji przez winget, po kolei, bez okien. Kontynuować?|Vou atualizar {0} apps com o winget, um de cada vez, sem janelas. Continuo?|Actualizez {0} aplicații cu winget, pe rând, fără ferestre. Continui?|Обновлю {0} приложений через winget по одному, без окон. Продолжить?
M|appsUpgrading|Aggiornamento di|Updating|Actualizando|Aktualisierung von|Mise à jour de|Aktualizowanie|Atualizando|Actualizare|Обновление
M|jobWait|In attesa|Waiting|En espera|Wartet|En attente|Oczekuje|Aguardando|În așteptare|Ожидание
M|jobPrep|Preparazione...|Preparing...|Preparando...|Vorbereitung...|Préparation...|Przygotowanie...|Preparando...|Pregătire...|Подготовка...
M|jobDownload|Download {0}%|Download {0}%|Descarga {0}%|Download {0}%|Téléchargement {0}%|Pobieranie {0}%|Download {0}%|Descărcare {0}%|Загрузка {0}%
M|jobInstall|Installazione...|Installing...|Instalando...|Installation...|Installation...|Instalowanie...|Instalando...|Instalare...|Установка...
M|jobInstallPct|Installazione {0}%|Installing {0}%|Instalando {0}%|Installation {0}%|Installation {0}%|Instalowanie {0}%|Instalando {0}%|Instalare {0}%|Установка {0}%
M|jobUninstall|Disinstallazione...|Uninstalling...|Desinstalando...|Deinstallation...|Désinstallation...|Odinstalowywanie...|Desinstalando...|Dezinstalare...|Удаление...
M|jobOk|Completata|Done|Completada|Fertig|Terminée|Gotowe|Concluído|Finalizat|Готово
M|jobOkReboot|Completata, serve un riavvio|Done, restart needed|Completada, requiere reinicio|Fertig, Neustart nötig|Terminée, redémarrage requis|Gotowe, wymagany restart|Concluído, reinício necessário|Finalizat, necesită repornire|Готово, нужна перезагрузка
M|jobErr|Errore (codice {0})|Error (code {0})|Error (código {0})|Fehler (Code {0})|Erreur (code {0})|Błąd (kod {0})|Erro (código {0})|Eroare (cod {0})|Ошибка (код {0})
M|jobsProgress|{0} di {1}|{0} of {1}|{0} de {1}|{0} von {1}|{0} sur {1}|{0} z {1}|{0} de {1}|{0} din {1}|{0} из {1}
M|appsDoneSum|Operazioni completate: {0} riuscite, {1} con errori.|Operations completed: {0} succeeded, {1} with errors.|Operaciones completadas: {0} correctas, {1} con errores.|Vorgänge abgeschlossen: {0} erfolgreich, {1} mit Fehlern.|Opérations terminées : {0} réussies, {1} en erreur.|Operacje zakończone: {0} udane, {1} z błędami.|Operações concluídas: {0} com sucesso, {1} com erros.|Operațiuni finalizate: {0} reușite, {1} cu erori.|Операции завершены: успешно {0}, с ошибками {1}.
M|homeThisPc|QUESTO PC|THIS PC|ESTE EQUIPO|DIESER PC|CE PC|TEN KOMPUTER|ESTE PC|ACEST PC|ЭТОТ КОМПЬЮТЕР
M|homeDomain|Dominio|Domain|Dominio|Domäne|Domaine|Domena|Domínio|Domeniu|Домен
M|homeWorkgroup|Gruppo di lavoro|Workgroup|Grupo de trabajo|Arbeitsgruppe|Groupe de travail|Grupa robocza|Grupo de trabalho|Grup de lucru|Рабочая группа
M|homeUptime|Acceso da {0}|Up for {0}|Encendido hace {0}|Läuft seit {0}|Allumé depuis {0}|Włączony od {0}|Ligado há {0}|Pornit de {0}|Работает {0}
M|homeUptimeD|{0} g {1} h {2} min|{0} d {1} h {2} min|{0} d {1} h {2} min|{0} T {1} Std. {2} Min.|{0} j {1} h {2} min|{0} d {1} h {2} min|{0} d {1} h {2} min|{0} z {1} h {2} min|{0} д {1} ч {2} мин
M|homeUptimeH|{0} h {1} min|{0} h {1} min|{0} h {1} min|{0} Std. {1} Min.|{0} h {1} min|{0} h {1} min|{0} h {1} min|{0} h {1} min|{0} ч {1} мин
M|homeInstalledOn|Windows installato il {0}|Windows installed on {0}|Windows instalado el {0}|Windows installiert am {0}|Windows installé le {0}|Windows zainstalowany {0}|Windows instalado em {0}|Windows instalat pe {0}|Windows установлен {0}
M|homeCpu|Processore|Processor|Procesador|Prozessor|Processeur|Procesor|Processador|Procesor|Процессор
M|homeRam|Memoria|Memory|Memoria|Arbeitsspeicher|Mémoire|Pamięć|Memória|Memorie|Память
M|homeGpu|Scheda video|Graphics card|Tarjeta gráfica|Grafikkarte|Carte graphique|Karta graficzna|Placa de vídeo|Placă video|Видеокарта
M|homeDisks|Archiviazione|Storage|Almacenamiento|Speicher|Stockage|Pamięć masowa|Armazenamento|Stocare|Накопители
M|homeVolumes|Unità|Drives|Unidades|Laufwerke|Lecteurs|Dyski|Unidades|Unități|Разделы
M|homeFreeFmt|{0} liberi su {1}|{0} free of {1}|{0} libres de {1}|{0} frei von {1}|{0} libres sur {1}|{0} wolne z {1}|{0} livres de {1}|{0} libere din {1}|свободно {0} из {1}
M|homeBoard|Scheda madre e firmware|Motherboard and firmware|Placa base y firmware|Mainboard und Firmware|Carte mère et micrologiciel|Płyta główna i firmware|Placa-mãe e firmware|Placă de bază și firmware|Материнская плата и прошивка
M|homeNet|Rete|Network|Red|Netzwerk|Réseau|Sieć|Rede|Rețea|Сеть
M|homeNoNet|Nessuna connessione attiva.|No active connection.|Ninguna conexión activa.|Keine aktive Verbindung.|Aucune connexion active.|Brak aktywnego połączenia.|Nenhuma conexão ativa.|Nicio conexiune activă.|Нет активных подключений.
M|homeBattery|Batteria|Battery|Batería|Akku|Batterie|Bateria|Bateria|Baterie|Батарея
M|homeSlotsFmt|{0} su {1} slot|{0} of {1} slots|{0} de {1} ranuras|{0} von {1} Steckplätzen|{0} sur {1} emplacements|{0} z {1} gniazd|{0} de {1} slots|{0} din {1} sloturi|{0} из {1} слотов
M|hkCores|Core / thread|Cores / threads|Núcleos / hilos|Kerne / Threads|Cœurs / threads|Rdzenie / wątki|Núcleos / threads|Nuclee / fire|Ядра / потоки
M|hkClock|Frequenza max|Max clock|Frecuencia máx.|Max. Takt|Fréquence max|Maks. taktowanie|Frequência máx.|Frecvență max|Макс. частота
M|hkTotal|Totale|Total|Total|Gesamt|Total|Łącznie|Total|Total|Всего
M|hkRamType|Tipo e velocità|Type and speed|Tipo y velocidad|Typ und Takt|Type et vitesse|Typ i szybkość|Tipo e velocidade|Tip și viteză|Тип и частота
M|hkSlots|Moduli|Modules|Módulos|Module|Barrettes|Moduły|Módulos|Module|Модули
M|hkVram|Memoria video|Video memory|Memoria de vídeo|Grafikspeicher|Mémoire vidéo|Pamięć wideo|Memória de vídeo|Memorie video|Видеопамять
M|hkDriver|Driver|Driver|Controlador|Treiber|Pilote|Sterownik|Driver|Driver|Драйвер
M|hkRes|Schermo|Display|Pantalla|Anzeige|Affichage|Ekran|Tela|Ecran|Экран
M|hkType|Tipo|Type|Tipo|Typ|Type|Typ|Tipo|Tip|Тип
M|hkModel|Modello|Model|Modelo|Modell|Modèle|Model|Modelo|Model|Модель
M|hkAdapter|Scheda|Adapter|Adaptador|Adapter|Carte|Karta|Adaptador|Adaptor|Адаптер
M|hkSpeed|Velocità|Speed|Velocidad|Geschwindigkeit|Vitesse|Szybkość|Velocidade|Viteză|Скорость
M|hkCharge|Carica|Charge|Carga|Ladung|Charge|Naładowanie|Carga|Încărcare|Заряд
M|hkPower|Alimentazione|Power|Alimentación|Stromversorgung|Alimentation|Zasilanie|Alimentação|Alimentare|Питание
M|hkHealth|Salute|Health|Estado|Zustand|Santé|Kondycja|Saúde|Sănătate|Износ (остаток)
M|valOn|Attivo|On|Activado|An|Activé|Włączony|Ativado|Activ|Включено
M|valOff|Spento|Off|Desactivado|Aus|Désactivé|Wyłączony|Desativado|Dezactivat|Выключено
M|valNone|Assente|Not present|No presente|Nicht vorhanden|Absent|Brak|Ausente|Absent|Отсутствует
M|valOnAc|Collegato alla corrente|Plugged in|Conectado a la corriente|Am Netz|Sur secteur|Podłączony do zasilania|Na tomada|Conectat la priză|От сети
M|valOnBattery|A batteria|On battery|Con batería|Akkubetrieb|Sur batterie|Na baterii|Na bateria|Pe baterie|От батареи
M|jobRetry|Nuovo tentativo: sostituisco la versione installata...|Retrying: replacing the installed version...|Reintentando: reemplazo la versión instalada...|Neuer Versuch: installierte Version wird ersetzt...|Nouvel essai : remplacement de la version installée...|Ponowna próba: zastępuję zainstalowaną wersję...|Nova tentativa: substituindo a versão instalada...|Reîncercare: înlocuiesc versiunea instalată...|Повтор: заменяю установленную версию...
M|wgErr_8A150008|Download non riuscito|Download failed|Descarga fallida|Download fehlgeschlagen|Échec du téléchargement|Pobieranie nie powiodło się|Falha no download|Descărcare eșuată|Ошибка загрузки
M|wgErr_8A150011|File scaricato non valido|Downloaded file not valid|Archivio descargado no válido|Heruntergeladene Datei ungültig|Fichier téléchargé non valide|Pobrany plik jest nieprawidłowy|Arquivo baixado inválido|Fișier descărcat invalid|Загруженный файл повреждён
M|wgErr_8A150014|Pacchetto non trovato|Package not found|Paquete no encontrado|Paket nicht gefunden|Paquet introuvable|Nie znaleziono pakietu|Pacote não encontrado|Pachet negăsit|Пакет не найден
M|wgErr_8A15008E|Tipo di installatore cambiato: aggiornala dal suo sito|Installer type changed: update it from its website|Cambió el tipo de instalador: actualízala desde su web|Installertyp geändert: über die Website aktualisieren|Type d'installateur modifié : mettez-la à jour depuis son site|Zmieniono typ instalatora: zaktualizuj ze strony producenta|Tipo de instalador mudou: atualize pelo site|Tip de instalator schimbat: actualizați de pe site|Сменился тип установщика: обновите с сайта
M|wgErr_8A150101|App aperta: chiudila e riprova|App is running: close it and retry|App abierta: ciérrala y reintenta|App läuft: schließen und erneut versuchen|App ouverte : fermez-la et réessayez|Aplikacja działa: zamknij i spróbuj ponownie|App aberto: feche e tente de novo|Aplicația rulează: închide-o și reîncearcă|Приложение открыто: закройте и повторите
M|wgErr_8A150102|Un'altra installazione è in corso|Another installation is running|Otra instalación en curso|Eine andere Installation läuft|Une autre installation est en cours|Trwa inna instalacja|Outra instalação em andamento|Altă instalare în curs|Идёт другая установка
